Year	Block 	Well	Pollen source nest	Pollen source cell	Pollen source species	Pollen type	Bee source	Bee source cell	Est date laid	Mean date laid	Est DOY laid	Bee species	Bee subgenus	Origin pollen	Transfer type	Transferred as	Transfer date	Est eclosion date	Day of event yr 1	Event	Days to event	Survival
2019	4	1	SG-C16	5	Osmia coloradensis	Taraxacum	SG-E12	2	25-26 Jun	25-Jun	176	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	5-Jul	26-Jul	dead	31	1
2019	7	3b	KC-B7	1	Osmia coloradensis	Asteraceae	SG-E12	7	30 Jun - 1 Jul	30-Jun	181	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	17-Jul	10-Jul	5-Aug	dead	36	1
2019	2	7	KP-K8	3	Osmia subaustralis	Asteraceae	SG-E16b	2	6-7 Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	22-Jul	16-Jul	5-Aug	dead	30	1
2019	6	11b	SG-B7	5	Osmia coloradensis	Taraxacum	SG-E16b	3	8-9 Jul	8-Jul	189	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	25-Jul	18-Jul	9-Aug	dead	32	1
2019	3	5	SG-C16	4	Osmia coloradensis	Taraxacum	SG-E3	1	24-25 Jun	24-Jun	175	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	4-Jul	24-Jul	dead	30	1
2019	2	15	SG-C16	3	Osmia coloradensis	Taraxacum	SG-E3	2	25-26 Jun	25-Jun	176	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	5-Jul	1-Aug	dead	37	1
2019	7	3	KC-B7	1	Osmia coloradensis	Asteraceae	SG-E3	3	26-27 Jun	26-Jun	177	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	10-Jul	6-Jul	14-Jul	dead	18	1
2019	7	9	SG-B7	4	Osmia coloradensis	Taraxacum	SG-E3	4	27-28 Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	10-Jul	7-Jul	30-Jul	dead	33	1
2019	3	7	SG-D7	2	Osmia coloradensis	Taraxacum	SG-E3	7	30 Jun - 1 Jul	30-Jun	181	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	17-Jul	10-Jul	30-Jul	dead	30	1
2019	7	15	GT-C14	8	Cephalosmia	Asteraceae	SG-E5	1	26 Jun - 2 Jul	29-Jun	180	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	9-Jul	30-Jul	dead	31	1
2019	6	1	BC-H4	9	Osmia coloradensis	Asteraceae	SG-E5	2	3-5 Jul	4-Jul	185	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	20-Jul	14-Jul	7-Aug	dead	34	1
2019	9	1	SG-E9	1	Osmia coloradensis	Asteraceae	SG-E5	4	8-9 Jul	8-Jul	189	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	25-Jul	18-Jul	31-Aug	cocoon	54	0
2019	9	7	"KC-E3,2018"	4	Osmia montana	Asteraceae	VB-A1	1	18-23 Jul	20-Jul	201	Cephalosmia	Cephalosmia	Asteraceae	Transfer	E	24-Jul	3-Aug	25-Aug	cocoon	36	0
2018	3	4	GT-C14b	2	Osmia coloradensis	Taraxacum	FT-F2b	1	22-Jun	22-Jun	173	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	6-Jul	2-Jul	13-Jul	dead	21	1
2018	3	1	JF-E5	1	Osmia coloradensis	Asteraceae	FT-F2b	2	23-Jun	23-Jun	174	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	6-Jul	3-Jul	2-Aug	cocoon	40	0
